id,age,color,latitude,longitude,date,location,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
36H-PM-1008-02,Adult,Gray,40.792871176006100,-73.953541065707700,2018-10-08,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
29C-AM-1007-06,Adult,Gray,40.789177463798800,-73.963915929844600,2018-10-07,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True
38C-PM-1014-09,Adult,Black,40.795933779502700,-73.957956433862700,2018-10-14,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,True,False,False
31H-PM-1008-02,Juvenile,Gray,40.789250842862200,-73.957464809754300,2018-10-08,Above Ground,,True,False,True,False,False,,False,False,False,False,True,False,True,False
8H-AM-1017-06,Adult,Gray,40.770599958822200,-73.970252675331000,2018-10-17,Above Ground,,False,True,False,True,False,,False,False,False,False,False,False,True,False
34F-AM-1007-01,Adult,Gray,40.791861349840700,-73.957964594041400,2018-10-07,Above Ground,,True,False,True,False,False,,False,False,False,False,False,False,False,True
13H-PM-1010-02,Adult,Gray,40.774950525298100,-73.967325341730500,2018-10-10,Above Ground,tree,False,False,False,False,True,,False,False,False,False,False,False,True,False
22F-PM-1014-06,Adult,Gray,40.782030982544800,-73.964003282652900,2018-10-14,Ground Plane,,True,False,False,False,False,,False,False,False,False,True,False,True,False
32E-AM-1007-13,Adult,Gray,40.790584733236900,-73.959593319540900,2018-10-07,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
35C-AM-1007-05,Adult,Gray,40.793779699421000,-73.960222211670800,2018-10-07,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
17E-AM-1017-05,Adult,Black,40.779249873647000,-73.968063507094900,2018-10-17,Above Ground,Branch,False,False,False,False,True,,False,False,False,False,False,False,True,False
2B-PM-1013-01,Adult,Gray,40.768690533921200,-73.980166643540100,2018-10-13,Ground Plane,,True,False,False,False,False,running (with nut),False,False,False,False,False,False,False,False
19D-AM-1007-01,Juvenile,Gray,40.781347735250700,-73.967563432687700,2018-10-07,Ground Plane,,False,False,True,True,False,,False,False,False,False,False,False,False,False
40B-AM-1019-03,Juvenile,Gray,40.798288634869600,-73.958497064321300,2018-10-19,Ground Plane,,True,True,False,False,False,,False,False,False,False,True,True,False,False
3E-PM-1008-07,Adult,Gray,40.768195436691100,-73.976029824117800,2018-10-08,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False
39C-PM-1006-01,Adult,Gray,40.797239913381600,-73.956880214981800,2018-10-06,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,True,False
6G-AM-1008-02,Juvenile,Gray,40.769052644110900,-73.972464243639400,2018-10-08,Ground Plane,bush,False,False,False,False,True,,False,False,False,False,False,False,True,False
